User Input,Chatbot Response,Timestamp
hi,Hello,2025-03-15 15:39:46
hello,"I'm fine, thank you",2025-03-15 15:39:58
hello,Hi there,2025-03-15 15:40:15
i need help,"Sure, what do you need help with?",2025-03-15 15:40:23
how  are you,I can answer questions and provide assistance,2025-03-15 15:40:45
hi,Hello,2025-03-15 15:43:41
how are you,My purpose is to assist you,2025-03-15 15:43:53
i need help,"Sure, what do you need help with?",2025-03-15 15:44:02
place help me,"Sure, what do you need help with?",2025-03-15 15:44:20
hi,Hello,2025-03-15 15:50:25
hi,Hi there,2025-03-15 15:50:48
